Logger,Chenxi,Field #,1,Row #,1,cm
Time,Height
14:08:38.614507,74
14:08:38.615753,74
14:08:38.616931,74
14:08:38.618244,74
14:08:38.619583,75
14:08:38.620825,75
14:08:38.622088,75
14:08:38.623572,75
14:08:38.624925,74
14:08:38.626273,74
14:08:38.627807,74
14:08:38.629609,74
14:08:38.631004,74
14:08:38.632354,75
14:08:38.634014,74
14:08:38.635581,73
14:08:38.636940,74
14:08:38.638558,74
14:08:38.639898,75
14:08:38.641123,74
14:08:38.642243,74
14:08:38.643497,74
14:08:38.644682,75
14:08:38.649995,75
14:08:38.650975,74
14:08:38.652087,74
14:08:39.527651,75
14:08:39.625905,75
14:08:39.728331,74
14:08:39.826629,74
14:08:39.929058,73
14:08:40.031443,74
14:08:40.129739,74
14:08:40.232127,74
14:08:40.330374,74
14:08:40.432807,74
14:08:40.535201,75
14:08:40.633521,74
14:08:40.735870,74
14:08:40.834189,74
14:08:40.936591,74
14:08:41.039004,74
14:08:41.137295,74
14:08:41.239663,74
14:08:41.337965,75
14:08:41.440380,74
14:08:41.538706,74
14:08:41.641073,74
14:08:41.743432,74
14:08:41.841719,74
14:08:41.944124,74
14:08:42.042448,74
14:08:42.144857,74
14:08:42.247245,74
14:08:42.345502,74
14:08:42.447935,74
14:08:42.546259,76
14:08:42.648600,74
14:08:42.751011,74
14:08:42.849314,74
14:08:42.951722,75
14:08:43.050041,74
14:08:43.152430,74
14:08:43.254818,74
14:08:43.353126,75
14:08:43.455534,75
14:08:43.553865,74
14:08:43.656209,74
14:08:43.758599,74
14:08:43.856899,72
14:08:43.959322,55
14:08:44.057594,52
14:08:44.159984,50
14:08:44.258258,48
14:08:44.360659,47
14:08:44.463046,45
14:08:44.561373,45
14:08:44.663817,43
14:08:44.762108,42
14:08:44.864496,41
14:08:44.966906,40
14:08:45.065165,38
14:08:45.167533,35
14:08:45.265894,34
14:08:45.368244,33
14:08:45.466524,33
14:08:45.568913,33
14:08:45.671332,32
14:08:45.769612,32
14:08:45.872061,31
14:08:45.970454,32
14:08:46.072710,31
14:08:46.175122,31
14:08:46.273616,32
14:08:46.375817,32
14:08:46.474096,30
14:08:46.576521,31
14:08:46.678930,31
14:08:46.777261,32
14:08:46.879646,31
14:08:46.977917,32
14:08:47.080344,34
14:08:47.178647,35
14:08:47.281017,37
14:08:47.383627,40
14:08:47.481724,41
14:08:47.584102,42
14:08:47.682393,43
14:08:47.784818,44
14:08:47.887195,45
14:08:47.985516,46
14:08:48.087911,46
14:08:48.186195,48
14:08:48.288551,49
14:08:48.386852,50
14:08:48.489291,51
14:08:48.591658,52
14:08:48.689940,52
14:08:48.792349,52
14:08:48.890656,52
14:08:48.993076,52
14:08:49.095462,52
14:08:49.193759,52
14:08:49.296116,52
14:08:49.394421,52
14:08:49.496866,52
14:08:49.599193,52
14:08:49.697499,52
14:08:49.799917,52
14:08:49.898222,52
14:08:50.000626,52
14:08:50.099023,51
14:08:50.201333,52
14:08:50.303703,52
14:08:50.402016,52
14:08:50.504393,52
14:08:50.602686,52
14:08:50.705079,52
14:08:50.807472,52
14:08:50.905770,52
14:08:51.008175,52
14:08:51.106485,52
14:08:51.208861,52
14:08:51.307188,52
14:08:51.409571,52
14:08:51.512040,52
14:08:51.610319,52
14:08:51.712645,52
14:08:51.810955,52
14:08:51.913336,52
14:08:52.015750,52
14:08:52.114020,52
14:08:52.216418,52
14:08:52.314784,52
14:08:52.417213,52
14:08:52.519538,52
14:08:52.617890,52
14:08:52.720231,52
14:08:52.818593,52
14:08:52.920916,52
14:08:53.019208,51
14:08:53.121623,52
14:08:53.224010,52
14:08:53.322327,52
14:08:53.424700,52
14:08:53.523036,52
14:08:53.625424,52
14:08:53.727773,50
14:08:53.826058,48
14:08:53.928498,45
14:08:54.026785,44
14:08:54.129195,43
14:08:54.231533,41
14:08:54.329914,40
14:08:54.432235,40
14:08:54.530538,37
14:08:54.632996,35
14:08:54.731242,34
14:08:54.833833,33
14:08:54.936101,31
14:08:55.034344,31
14:08:55.136744,30
14:08:55.235015,30
14:08:55.337424,29
14:08:55.439818,29
14:08:55.538133,29
14:08:55.640494,29
14:08:55.738841,29
14:08:55.841247,29
14:08:55.939554,29
14:08:56.041933,29
14:08:56.144272,29
14:08:56.242589,29
