Time,Height
14:13:39.890707,75
14:13:39.988901,75
14:13:40.091340,75
14:13:40.193687,76
14:13:40.292048,75
14:13:40.394423,75
14:13:40.492755,75
14:13:40.595106,76
14:13:40.697527,75
14:13:40.795798,75
14:13:40.898197,75
14:13:40.996522,75
14:13:41.098903,75
14:13:41.197154,75
14:13:41.299616,75
14:13:41.402000,76
14:13:41.500256,75
14:13:41.602681,75
14:13:41.701000,74
14:13:41.804154,75
14:13:41.905768,74
14:13:42.004048,74
14:13:42.106499,75
14:13:42.204783,74
14:13:42.307145,76
14:13:42.409594,75
14:13:42.507873,76
14:13:42.610301,75
14:13:42.708556,76
14:13:42.810959,75
14:13:42.913411,75
14:13:43.011679,75
14:13:43.114051,76
14:13:43.212386,75
14:13:43.314761,75
14:13:43.417129,75
14:13:43.515465,76
14:13:43.617857,74
14:13:43.716128,76
14:13:43.818566,75
14:13:43.916791,75
14:13:44.019313,75
14:13:44.121650,75
14:13:44.219958,76
14:13:44.322291,75
14:13:44.420610,75
14:13:44.523017,74
14:13:44.625453,75
14:13:44.723680,76
14:13:44.826128,75
14:13:44.924389,75
14:13:45.026782,75
14:13:45.129186,75
14:13:45.227468,75
14:13:45.329935,75
14:13:45.428201,75
14:13:45.530593,75
14:13:45.632966,75
14:13:45.731270,75
14:13:45.833738,76
14:13:45.932050,76
14:13:46.034402,75
14:13:46.136807,75
14:13:46.235081,75
14:13:46.337481,75
14:13:46.435866,75
14:13:46.538200,76
14:13:46.636431,76
14:13:46.738864,74
14:13:46.841224,74
14:13:46.939539,75
14:13:47.041991,75
14:13:47.140247,75
14:13:47.242669,76
14:13:47.345033,75
14:13:47.443547,74
14:13:47.545703,75
14:13:47.644023,75
14:13:47.746455,75
14:13:47.848798,75
14:13:47.947173,75
14:13:48.049565,75
14:13:48.147812,75
14:13:48.250219,75
14:13:48.352586,75
14:13:48.450930,75
14:13:48.553339,75
14:13:48.651614,76
14:13:48.754038,75
14:13:48.856423,75
14:13:48.954744,75
14:13:49.057139,76
14:13:49.155392,75
14:13:49.257774,75
14:13:49.356059,75
14:13:49.458474,75
14:13:49.560920,76
14:13:49.659180,75
14:13:49.761593,75
14:13:49.859887,75
14:13:49.962334,75
14:13:50.064687,75
14:13:50.162967,75
14:13:50.265353,76
14:13:50.363656,76
14:13:50.466047,75
14:13:50.568463,75
14:13:50.666750,76
14:13:50.769143,75
14:13:50.867515,75
14:13:50.969893,75
14:13:51.072226,74
14:13:51.170519,75
14:13:51.272992,75
14:13:51.371278,76
14:13:51.473678,76
14:13:51.576032,75
14:13:51.674359,75
14:13:51.776715,76
14:13:51.875041,75
14:13:51.977451,75
14:13:52.075762,76
14:13:52.178124,75
14:13:52.280567,75
14:13:52.378819,75
14:13:52.481212,76
14:13:52.579521,75
14:13:52.681933,75
14:13:52.784334,75
14:13:52.882612,75
14:13:52.985036,76
14:13:53.083587,76
14:13:53.185665,74
14:13:53.288118,75
14:13:53.386368,75
14:13:53.488824,75
14:13:53.587054,75
14:13:53.689468,75
14:13:53.791890,75
14:13:53.890157,75
14:13:53.992558,75
14:13:54.090891,76
14:13:54.193278,75
14:13:54.295681,75
14:13:54.393986,75
14:13:54.496340,75
14:13:54.594687,75
14:13:54.697062,75
14:13:54.795344,74
14:13:54.897731,75
14:13:55.000147,75
14:13:55.098440,75
14:13:55.200884,74
14:13:55.299161,75
14:13:55.401564,75
14:13:55.503927,75
14:13:55.602240,76
14:13:55.704643,76
14:13:55.802925,76
14:13:55.905343,75
14:13:56.007722,75
