Lidar Time,Height (cm),Log Format,GPS UTC Time,Latitude,Latitude Direction,Longitude,Longitude Direction,GPS Quality Indicator,# sats,hdop,alt,a-units,undulation,u-units,age,stn ID & Check Sum
17:35:17.954972,83,$GPGGA,213517.00,4226.86329219,N,07628.54685683,W,2,15,1.3,310.175,M,-34.038,M,5.0,0131*72
17:35:18.020565,83,$GPGGA,213517.00,4226.86329219,N,07628.54685683,W,2,15,1.3,310.175,M,-34.038,M,5.0,0131*72
17:35:18.085992,84,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.155696,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.221193,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.286724,84,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.356357,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.421928,82,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.487432,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.557049,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.622590,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.688118,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.757756,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.823268,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.888765,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:18.958412,84,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:19.024285,83,$GPGGA,213518.00,4226.86329034,N,07628.54686182,W,2,15,1.3,310.193,M,-34.038,M,6.0,0131*7E
17:35:19.093573,84,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.159137,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.224703,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.290232,84,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.359810,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.425427,84,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.494968,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.561066,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.626079,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.695641,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.761176,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.826772,82,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.896425,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:19.961864,82,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:20.031469,83,$GPGGA,213519.00,4226.86328710,N,07628.54686474,W,2,15,1.3,310.213,M,-34.038,M,7.0,0131*79
17:35:20.097272,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.162571,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.232233,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.297718,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.363335,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.433140,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.498813,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.563967,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.633565,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.699095,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.764655,84,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.834303,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.899836,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:20.965314,83,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:21.034938,84,$GPGGA,213520.00,4226.86329137,N,07628.54686907,W,2,15,1.3,310.231,M,-34.038,M,7.0,0131*78
17:35:21.100609,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.166132,84,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.235659,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.301238,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.366706,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.436333,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.501903,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.571520,82,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.637047,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.702531,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.772150,84,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.837712,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.903229,84,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:21.972881,84,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:22.038395,83,$GPGGA,213521.00,4226.86329602,N,07628.54687521,W,2,15,1.3,310.252,M,-34.038,M,7.0,0131*74
17:35:22.103917,83,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.173592,83,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.239141,83,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.304642,83,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.374263,84,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.439809,83,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.505295,83,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.575251,83,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.641026,83,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
17:35:22.710147,84,$GPGGA,213522.00,4226.86330536,N,07628.54687993,W,2,15,1.3,310.258,M,-34.038,M,4.0,0131*77
